materialAliases;materialGroup;materialSubGroup;materialTypeNumber;name;productionMethod;surfaceDescription;surfaceNorm
"[""Edelstahl"",""V2A"",""VA"",""SUS304"",""AISI 304""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.301;X5CrNi18-10;kaltgewalzt;visuell glatte Oberfläche, einseitig foliert;2B1sF
"[""Edelstahl"",""V4A"",""AISI 316"",""VA""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.401;X5CrNiMo17-12-2;kaltgewalzt;visuell glatte Oberfläche, einseitig foliert;2B1sF
"[""AISI 316L"",""V4A""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.404;X2CrNiMo17-12-2;kaltgewalzt;visuell glatte Oberfläche, einseitig foliert;2B1sF
"[""VA"",""AISI 316Ti"",""Edelstahl"",""V4A""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.571;X6CrNiMoTi17-12-2;kaltgewalzt;visuell glatte Oberfläche, einseitig foliert;2B1sF
"[""VA"",""Edelstahl"",""V2A"",""Federbandstahl"",""Federstahl"",""federhart"",""AISI 301"",""Federblech""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.310;X10CrNi18-8 (Festigkeit 1200 - 1600 N/mm²);kaltgewalzt;;2H
"[""AISI 316L"",""V4A""]";Nichtrostender Stahl;Nichtrostender austenitischer Stahl;14.404;X2CrNiMo17-12-2;kaltgewalzt;;2H
"[""AISI Alloy C-4"",""Hastelloy"",""N06455"",""Nickel-Molybdän-Chrom""]";Nickellegierung;Nickel-Molybdän-Chrom-Legierung;24.610;NiMo16Cr16Ti;warmgewalzt;gebeizt;1D
"[""N06455"",""AISI Alloy C-4"",""Hastelloy"",""Nickel-Molybdän-Chrom""]";Nickellegierung;Nickel-Molybdän-Chrom-Legierung;24.610;NiMo16Cr16Ti;kaltgewalzt;visuell glatte Oberfläche;2B
[];Nickellegierung;Nickel-Chrom-Eisen-Molybdän-Legierung;24.668;NiCr19Fe19Nb5Mo3;kaltgewalzt;visuell glatte Oberfläche;2B
"[""Nickel-Molybdän-Chrom""]";Nickellegierung;Nickel-Molybdän-Chrom-Wolfram-Legierung;24.819;NiMo16Cr15W;kaltgewalzt;visuell glatte Oberfläche;2B
"[""TiGr1"",""Ti995-Ti-grade1"",""R50250"",""T1"",""Titan Grade 1""]";Titan;Titan Grade 1;37.025;Ti995-Ti-grade1;gewalzt;walzblank;wb
"[""T2"",""Titan Grade 2"",""Ti994-Ti-grade2"",""R50400"",""TiGr2""]";Titan;Titan Grade 2;37.035;Ti994-Ti-grade2;gewalzt;walzblank;wb
